Date,Time,Receipt Number,Transaction,Item,Payment Method
27-12-2122,18:37:21,1O5JKH,5,tim tam,Cash
27-12-2122,18:24:41,1O5JKG,2,tisu,Other
27-12-2122,17:46:15,1O5JKF,4,kapas,Cash
27-12-2122,17:21:54,1O5JKE,1,pembersih muka,Cash
27-12-2122,17:18:25,1O5JKD,2,marina hand&body,BCA
27-12-2122,14:28:36,1O5JKC,3,lovely hand&body,Cash
27-12-2122,13:52:11,1O5JKB,4,vaseline hand&body,Gopay
27-12-2122,13:28:52,1O5JKA,5,citra hand&body,GoFood
27-12-2122,13:23:16,1O5JK9,2,nivea deodorant,GoFood
27-12-2122,13:18:16,1O5JK8,4,nivea hand&body,BCA
27-12-2122,12:31:31,1O5JK7,1,rexona,Cash
27-12-2122,12:19:11,1O5JK6,2,posh body spray,Gopay
27-12-2122,11:57:35,1O5JK5,3,clear shampoo,Gopay
27-12-2122,11:32:13,1O5JK4,4,posh deodorant,Gopay
27-12-2122,11:31:55,1O5JK3,5,bellagio parfume,Gopay
26-12-2122,22:41:22,1O5JK2,2,fres parfume,Cash
26-12-2122,22:12:53,1O5JK1,3,vitalis parfume,Cash
26-12-2122,22:14:45,1O5JK1,3,fresh tea,Cash
26-12-2122,21:42:25,1O5JJZ,4,cassablanca prafume,Cash
26-12-2122,21:34:52,1O5JJY,5,eskulin parfume,Cash
26-12-2122,21:17:34,1O5JJX,2,evangeline parfume,Cash
26-12-2122,21:49:12,1O5JJW,4,marina parfume,Gopay
26-12-2122,21:38:52,1O5JJV,1,izi parfume,Other
26-12-2122,21:34:35,1O5JJU,2,permen relaxa,Cash
26-12-2122,21:14:53,1O5JJT,2,permen kopiko,Cash
26-12-2122,21:15:26,1O5JJS,4,Permen blaster,Gopay
26-12-2122,19:49:16,1O5JJR,1,Permen tamarin,BCA
26-12-2122,19:14:15,1O5JJQ,2,Permen kiss,Gopay
26-12-2122,19:19:37,1O5JJP,3,Permen big babel,Cash
26-12-2122,18:34:17,1O5JJO,4,Permen hot hot,Gopay
26-12-2122,16:22:17,1O5JJN,5,Permen milkita,Other
26-12-2122,16:16:37,1O5JJM,2,kue cucur,Cash
26-12-2122,15:15:19,1O5JJL,3,kue lapis,Gopay
26-12-2122,14:56:21,1O5JJK,2,kopi abc,Gopay
26-12-2122,14:31:16,1O5JJJ,4,kopi kapal api,Gopay
26-12-2122,14:11:14,1O5JJI,1,kerupuk kulit,Gopay
26-12-2122,13:25:23,1O5JJH,2,"arem""",Gopay
26-12-2122,13:12:34,1O5JJG,3,nasi ayam,Cash
26-12-2122,12:21:55,1O5JJF,4,chocolatos,Gopay
25-12-2122,22:53:18,1O5JJE,5,kopi good day,Other EDC
25-12-2122,22:14:11,1O5JJD,2,teh pucuk,Cash
25-12-2122,22:16:39,1O5JJC,3,aqua 351ml,Cash
25-12-2122,22:15:19,1O5JJB,3,good time,Cash
25-12-2122,21:47:38,1O5JJA,2,sarden,Other
25-12-2122,21:13:31,1O5JJ9,3,telur,Cash
25-12-2122,21:17:57,1O5JJ8,4,es teh,Other
25-12-2122,21:15:18,1O5JJ7,5,susu cokelat,Cash
25-12-2122,21:56:54,1O5JJ6,2,susu vanilla,Cash
25-12-2122,21:53:51,1O5JJ5,2,nagasari,Cash
25-12-2122,21:53:28,1O5JJ4,4,usus crispy,Cash
25-12-2122,21:53:19,1O5JJ4,1,nextar,Cash
25-12-2122,21:36:59,1O5JJ3,2,pembalut,Cash
25-12-2122,17:45:58,1O5JJ2,3,buku tulis,Other
25-12-2122,14:15:13,1O5JJ1,4,bolpoin standart,Cash
25-12-2122,13:47:18,1O5JJ1,5,buku gambar,Cash
25-12-2122,13:41:12,1O5JIZ,2,pensil,Cash
25-12-2122,12:22:13,1O5JIY,3,penghapus,Gopay
25-12-2122,11:36:28,1O5JIX,3,rautan pensil,Cash
25-12-2122,11:24:41,1O5JIW,4,sari roti,Cash
25-12-2122,11:11:15,1O5JIV,2,mie,Gopay
25-12-2122,8:32:12,1O5JIU,4,kecap,BNI
24-12-2122,23:16:37,1O5JIT,1,saos,BCA
24-12-2122,22:11:48,1O5JIS,2,es cream,Gopay
24-12-2122,21:51:51,1O5JIR,3,pie susu,Other EDC
24-12-2122,21:28:56,1O5JIQ,4,risol,Gopay
24-12-2122,21:22:12,1O5JIP,5,martabak,Cash
24-12-2122,21:18:28,1O5JIO,2,floridina,Cash
24-12-2122,21:14:16,1O5JIN,2,iso plus,Cash
24-12-2122,21:11:54,1O5JIM,4,golda,Cash
24-12-2122,21:47:12,1O5JIL,1,nutrisari,Cash
24-12-2122,21:44:45,1O5JIK,2,teh rio,Cash
24-12-2122,21:31:48,1O5JIJ,3,kopikap,BCA
24-12-2122,21:23:16,1O5JII,4,roti aoka,Cash
24-12-2122,21:21:35,1O5JIH,5,sari gandum,Cash
24-12-2122,21:15:11,1O5JIG,2,taro,Cash
24-12-2122,21:15:37,1O5JIF,3,qitela,Cash
24-12-2122,19:49:49,1O5JIE,2,choki choki,Gopay
24-12-2122,19:15:32,1O5JID,2,bengbeng,Cash
24-12-2122,18:37:19,1O5JIC,3,nabati,Cash
24-12-2122,18:12:15,1O5JIB,2,basreng,GoFood
24-12-2122,17:54:38,1O5JIA,2,mie lidi,Cash
24-12-2122,17:51:12,1O5JI9,2,macroni pedas manis,Cash
24-12-2122,17:16:59,1O5JI8,2,bon cabe(bubuk cabe),Cash
24-12-2122,17:13:39,1O5JI7,1,pepsodent,BRI
24-12-2122,16:21:21,1O5JI6,2,head&shoulder,Cash
24-12-2122,16:13:13,1O5JI5,2,lifebuoy(sabun mandi cair),Cash
24-12-2122,16:11:15,1O5JI4,4,lifebuoy(shampoo),Cash
24-12-2122,15:56:19,1O5JI3,1,shinzui(sabun mandi),Cash
24-12-2122,15:47:49,1O5JI2,2,biore(sabun muka),Cash
24-12-2122,15:22:38,1O5JI1,4,lifebuoy(sabun mandi batangan),Cash
24-12-2122,15:12:44,1O5JI1,1,sunlight,Gopay
24-12-2122,14:43:39,1O5JHZ,2,lux(sabun mandi),Cash
24-12-2122,14:31:59,1O5JHY,3,sunsilk(shampoo),Gopay
24-12-2122,14:17:17,1O5JHX,4,pantene(shampoo),Gopay
24-12-2122,13:37:11,1O5JHW,5,lux(sabun mandi),Cash
24-12-2122,13:25:55,1O5JHV,2,biore(sabun mandi),Cash
24-12-2122,13:24:23,1O5JHU,3,kacang sukro,Cash
24-12-2122,13:15:36,1O5JHT,2,kuaci,Cash
24-12-2122,12:43:48,1O5JHS,4,kacang kulit,Cash
24-12-2122,12:41:41,1O5JHR,1,lays,Cash
24-12-2122,12:36:14,1O5JHQ,2,chitato,Gopay
24-12-2122,12:34:17,1O5JHP,3,superstar,Cash
24-12-2122,12:31:45,1O5JHO,4,momogi,Cash
24-12-2122,12:12:15,1O5JHN,5,yupi,Cash
24-12-2122,11:43:11,1O5JHM,2,astor,BCA
24-12-2122,11:34:15,1O5JHL,3,siip,Cash
24-12-2122,11:15:47,1O5JHK,3,helo panda,Cash
24-12-2122,11:59:58,1O5JHJ,2,poki poki,Cash
24-12-2122,11:46:18,1O5JHI,4,top,Cash
24-12-2122,11:39:33,1O5JHH,1,oreo,Cash
24-12-2122,11:36:45,1O5JHG,2,selai olai,GrabFood
24-12-2122,11:33:11,1O5JHF,3,gery salut,Cash
24-12-2122,11:31:56,1O5JHE,4,malkis roma,Cash
24-12-2122,9:48:21,1O5JHD,5,tik tik,Cash
24-12-2122,8:17:29,1O5JHC,2,krisbee,GrabFood
23-12-2122,23:41:21,1O5JHB,2,sponge,Cash
23-12-2122,23:36:31,1O5JHA,4,chocopie,Other
23-12-2122,23:34:39,1O5JH9,1,jetz,Gopay
23-12-2122,23:34:21,1O5JGM,2,chiki ball,Cash
23-12-2122,22:34:55,1O5JH8,3,chitato lite,BNI
23-12-2122,22:29:35,1O5JH7,4,kusuka,Other
23-12-2122,22:28:21,1O5JH6,5,piattos,Cash
23-12-2122,21:18:17,1O5JH5,2,time break,Cash
23-12-2122,21:12:13,1O5JH4,2,tango,Cash
23-12-2122,21:43:18,1O5JH3,4,fanta,Cash
23-12-2122,21:31:44,1O5JH2,1,sprite,Cash
23-12-2122,21:27:57,1O5JH1,2,roma arden,Gopay
23-12-2122,19:59:54,1O5JH1,3,kalpa,Cash
23-12-2122,19:56:11,1O5JGZ,4,le minerale,Cash
23-12-2122,19:48:28,1O5JGY,5,mizone,Cash
23-12-2122,19:31:53,1O5JGX,2,pocari sweat,Other
23-12-2122,19:21:53,1O5JGW,4,tim tam,Cash
23-12-2122,19:19:39,1O5JGV,1,tisu,Cash
23-12-2122,18:47:19,1O5JGU,2,kapas,BCA
23-12-2122,18:32:13,1O5JGT,3,pembersih muka,Cash
23-12-2122,18:19:26,1O5JGS,4,marina hand&body,Cash
23-12-2122,18:16:58,1O5JGR,5,lovely hand&body,Cash
23-12-2122,18:18:15,1O5JGQ,2,vaseline hand&body,Mandiri
23-12-2122,18:13:14,1O5JGP,4,citra hand&body,Cash
23-12-2122,17:53:52,1O5JGO,1,nivea deodorant,BCA
23-12-2122,17:43:15,1O5JGN,2,nivea hand&body,BCA
23-12-2122,17:34:52,1O5JGM,3,rexona,Cash
23-12-2122,17:25:38,1O5JGL,4,posh body spray,Other
23-12-2122,17:21:51,1O5JGK,5,clear shampoo,Cash
23-12-2122,16:57:59,1O5JGJ,2,posh deodorant,Cash
23-12-2122,16:55:53,1O5JGI,2,bellagio parfume,Cash
23-12-2122,16:51:22,1O5JGH,4,fres parfume,Other
23-12-2122,16:33:37,1O5JGG,1,vitalis parfume,Cash
23-12-2122,16:28:27,1O5JGF,2,fresh tea,Ovo
23-12-2122,16:26:14,1O5JGE,3,cassablanca prafume,Cash
23-12-2122,16:24:59,1O5JGD,4,eskulin parfume,Cash
23-12-2122,16:22:33,1O5JGC,5,evangeline parfume,Gopay
23-12-2122,16:21:56,1O5JGB,2,marina parfume,Cash
23-12-2122,16:19:32,1O5JGA,4,izi parfume,Cash
23-12-2122,15:56:43,1O5JG9,1,permen relaxa,Gopay
23-12-2122,15:55:27,1O5JG8,2,permen kopiko,Cash
23-12-2122,15:54:19,1O5JG7,3,Permen blaster,Cash
23-12-2122,15:52:41,1O5JG6,4,Permen tamarin,Cash
23-12-2122,15:51:51,1O5JG5,5,Permen kiss,Cash
23-12-2122,15:51:55,1O5JG4,2,Permen big babel,Cash
23-12-2122,15:33:19,1O5JG3,4,Permen hot hot,Other
23-12-2122,15:31:49,1O5JG2,1,Permen milkita,Cash
23-12-2122,15:29:14,1O5JG1,2,kue cucur,Cash
23-12-2122,15:23:15,1O5JG1,3,kue lapis,BCA
23-12-2122,15:13:43,1O5JFZ,4,"arem""",Other
23-12-2122,14:51:57,1O5JFY,5,nasi ayam,Gopay
23-12-2122,14:43:41,1O5JFX,2,chocolatos,BNI
23-12-2122,14:38:21,1O5JFW,4,kopi good day,BCA
23-12-2122,14:31:15,1O5JFV,1,teh pucuk,Cash
23-12-2122,14:29:17,1O5JFU,2,aqua 351ml,Cash
23-12-2122,14:28:18,1O5JFT,3,good time,Cash
23-12-2122,14:13:45,1O5JFS,4,sarden,Cash
23-12-2122,14:13:18,1O5JFR,5,telur,Mandiri
23-12-2122,13:46:17,1O5JFQ,2,es teh,Cash
23-12-2122,13:38:13,1O5JFP,2,susu cokelat,Gopay
23-12-2122,13:26:21,1O5JFO,4,susu vanilla,Cash
23-12-2122,13:16:56,1O5JFN,1,nagasari,Gopay
23-12-2122,12:29:11,1O5JFM,2,usus crispy,Cash
23-12-2122,12:19:12,1O5JFL,3,nextar,Cash
23-12-2122,12:11:54,1O5JFK,4,pembalut,BNI
23-12-2122,11:51:54,1O5JFJ,2,buku tulis,Gopay
23-12-2122,11:48:19,1O5JFI,4,bolpoin standart,Cash
23-12-2122,11:46:49,1O5JFH,1,buku gambar,Cash
23-12-2122,11:46:31,1O5JFG,2,pensil,Cash
23-12-2122,11:21:16,1O5JFF,3,penghapus,Cash
23-12-2122,11:15:11,1O5JFE,4,rautan pensil,Cash
23-12-2122,11:12:28,1O5JFD,5,sari roti,BCA
23-12-2122,9:44:11,1O5JFC,2,mie,Gopay
23-12-2122,9:24:19,1O5JFB,4,kecap,Cash
23-12-2122,9:16:17,1O5JFA,1,saos,Cash
23-12-2122,9:18:17,1O5JF9,2,es cream,BCA
23-12-2122,8:44:13,1O5JF8,3,pie susu,GrabFood
23-12-2122,8:17:54,1O5JF7,4,risol,Cash
22-12-2122,22:31:26,1O5JF6,5,martabak,Gopay
22-12-2122,21:11:19,1O5JF5,2,floridina,Cash
22-12-2122,21:41:11,1O5JF4,4,iso plus,Gopay
22-12-2122,21:15:51,1O5JF3,1,golda,Cash
22-12-2122,21:19:29,1O5JF2,2,nutrisari,Cash
22-12-2122,19:17:41,1O5JF1,3,teh rio,Cash
22-12-2122,19:16:54,1O5JF1,4,kopikap,Cash
22-12-2122,19:14:58,1O5JEZ,2,roti aoka,Cash
22-12-2122,18:34:14,1O5JEY,4,sari gandum,Cash
22-12-2122,18:28:33,1O5JEX,1,taro,Cash
22-12-2122,18:18:43,1O5JEW,2,qitela,Gopay
22-12-2122,17:58:15,1O5JEV,3,choki choki,BCA
22-12-2122,17:51:46,1O5JEU,4,bengbeng,Cash
22-12-2122,17:36:39,1O5JET,2,nabati,Cash
22-12-2122,17:31:28,1O5JES,4,basreng,Cash
22-12-2122,17:31:33,1O5JER,1,mie lidi,Cash
22-12-2122,17:21:49,1O5JEQ,2,macroni pedas manis,Gopay
22-12-2122,17:12:51,1O5JEP,3,bon cabe(bubuk cabe),Cash
22-12-2122,16:31:18,1O5JEO,4,pepsodent,Gopay
22-12-2122,16:12:18,1O5JEN,2,head&shoulder,Cash
22-12-2122,15:46:31,1O5JEM,4,lifebuoy(sabun mandi cair),Cash
22-12-2122,15:45:41,1O5JEL,1,lifebuoy(shampoo),Other
22-12-2122,15:16:36,1O5JEK,2,shinzui(sabun mandi),Cash
22-12-2122,15:13:21,1O5JEJ,3,biore(sabun muka),Cash
22-12-2122,14:55:15,1O5JEI,4,lifebuoy(sabun mandi batangan),Cash
22-12-2122,14:52:46,1O5JEH,5,sunlight,Gopay
22-12-2122,14:37:55,1O5JEG,2,lux(sabun mandi),Cash
22-12-2122,14:31:47,1O5JEF,4,sunsilk(shampoo),Other
22-12-2122,14:26:37,1O5JEE,1,pantene(shampoo),Cash
22-12-2122,13:52:36,1O5JED,2,lux(sabun mandi),Cash
22-12-2122,13:32:22,1O5JEC,3,biore(sabun mandi),Cash
22-12-2122,13:17:17,1O5JEB,4,kacang sukro,BNI
22-12-2122,12:41:43,1O5JEA,5,kuaci,Mandiri
22-12-2122,11:41:54,1O5JE9,2,kacang kulit,Cash
22-12-2122,11:16:41,1O5JE8,4,lays,Gopay
22-12-2122,11:15:19,1O5JE7,1,chitato,Mandiri
22-12-2122,8:41:11,1O5JE6,2,superstar,Cash
22-12-2122,8:12:15,1O5JE5,3,momogi,Cash
21-12-2122,23:44:41,1O5JE4,2,yupi,Gopay
21-12-2122,23:24:41,1O5JE3,4,astor,Cash
21-12-2122,23:16:45,1O5JE2,1,siip,Cash
21-12-2122,22:31:25,1O5JE1,2,helo panda,Cash
21-12-2122,22:15:15,1O5JE1,3,poki poki,Cash
21-12-2122,22:12:13,1O5JDZ,4,top,Gopay
21-12-2122,21:58:52,1O5JDY,5,oreo,BCA
21-12-2122,21:24:22,1O5JDX,2,selai olai,Other
21-12-2122,21:12:47,1O5JDW,4,gery salut,GrabFood
21-12-2122,21:34:41,1O5JDV,1,malkis roma,Cash
21-12-2122,18:45:13,1O5JDU,2,tik tik,Cash
21-12-2122,18:16:44,1O5JDT,3,krisbee,Cash
21-12-2122,18:12:18,1O5JDS,4,sponge,Gopay
21-12-2122,18:11:21,1O5JDR,5,chocopie,Gopay
21-12-2122,18:19:23,1O5JDQ,2,jetz,Cash
21-12-2122,17:34:13,1O5JDP,4,chiki ball,Cash
21-12-2122,17:11:37,1O5JDO,1,chitato lite,Cash
21-12-2122,17:17:12,1O5JDN,2,kusuka,Cash
21-12-2122,16:48:12,1O5JDM,3,piattos,Cash
21-12-2122,16:34:25,1O5JDL,4,time break,BNI
21-12-2122,16:25:47,1O5JDK,5,tango,Other
21-12-2122,16:19:16,1O5JDJ,2,fanta,GrabFood
21-12-2122,16:18:35,1O5JDI,2,sprite,Gopay
21-12-2122,16:17:56,1O5JDI,4,roma arden,Gopay
21-12-2122,15:39:57,1O5JDH,1,kalpa,Gopay
21-12-2122,15:11:26,1O5JDG,2,le minerale,Mandiri
21-12-2122,14:19:25,1O5JDF,3,mizone,Cash
21-12-2122,14:15:11,1O5JDE,4,pocari sweat,Cash
21-12-2122,14:11:11,1O5JDD,5,tim tam,Gopay
21-12-2122,13:57:27,1O5JDC,2,tisu,Other
21-12-2122,12:21:41,1O5JDB,4,kapas,Gopay
21-12-2122,11:47:16,1O5JDA,1,pembersih muka,Cash
21-12-2122,11:32:21,1O5JD9,2,marina hand&body,Cash
21-12-2122,11:31:13,1O5JD8,3,lovely hand&body,Cash
21-12-2122,11:24:18,1O5JD7,4,vaseline hand&body,Cash
21-12-2122,11:18:52,1O5JD6,5,citra hand&body,Cash
21-12-2122,11:53:28,1O5JD5,2,nivea deodorant,Cash
21-12-2122,11:51:28,1O5JD4,4,nivea hand&body,Gopay
21-12-2122,11:51:32,1O5JD3,1,rexona,BRI
21-12-2122,11:16:18,1O5JD2,2,posh body spray,Gopay
21-12-2122,11:11:46,1O5JD1,3,clear shampoo,Cash
21-12-2122,9:48:38,1O5JD1,4,posh deodorant,Cash
21-12-2122,9:47:58,1O5JCZ,2,bellagio parfume,Gopay
21-12-2122,9:41:21,1O5JCY,4,fres parfume,Cash
21-12-2122,9:34:17,1O5JCX,1,vitalis parfume,Gopay
21-12-2122,9:16:32,1O5JCW,2,fresh tea,Cash
21-12-2122,23:37:19,1O5JCV,3,cassablanca prafume,BNI
21-12-2122,22:34:12,1O5JCU,4,eskulin parfume,GoFood
21-12-2122,21:24:48,1O5JCT,2,evangeline parfume,Cash
21-12-2122,21:22:18,1O5JCS,4,marina parfume,Cash
21-12-2122,19:25:16,1O5JCR,1,izi parfume,Gopay
21-12-2122,18:54:54,1O5JCQ,2,permen relaxa,Gopay
21-12-2122,18:44:49,1O5JCP,3,permen kopiko,Gopay
21-12-2122,17:11:25,1O5JCO,4,Permen blaster,Gopay
21-12-2122,16:47:39,1O5JCN,5,Permen tamarin,Cash
21-12-2122,16:13:51,1O5JCM,2,Permen kiss,Cash
21-12-2122,15:54:19,1O5JCL,4,Permen big babel,Cash
21-12-2122,15:13:38,1O5JCK,1,Permen hot hot,Gopay
21-12-2122,14:48:49,1O5JCJ,2,Permen milkita,Gopay
21-12-2122,14:34:22,1O5JCI,3,"arem""",Gopay
21-12-2122,14:33:24,1O5JCH,4,nasi ayam,Cash
21-12-2122,14:32:42,1O5JCG,2,chocolatos,Gopay
21-12-2122,14:16:33,1O5JCF,4,kopi good day,BCA
21-12-2122,14:15:25,1O5JCE,1,teh pucuk,Gopay
21-12-2122,14:11:34,1O5JCD,2,aqua 351ml,Cash
21-12-2122,14:19:42,1O5JCC,3,good time,Cash
21-12-2122,14:18:13,1O5JCB,4,sarden,Gopay
21-12-2122,14:17:28,1O5JCA,5,telur,Gopay
21-12-2122,13:57:11,1O5JC9,2,es teh,Cash
21-12-2122,13:29:14,1O5JC8,2,susu cokelat,Cash
21-12-2122,13:17:43,1O5JC7,4,susu vanilla,Cash
21-12-2122,12:21:37,1O5JC6,1,nagasari,BCA
21-12-2122,11:54:19,1O5JC5,2,usus crispy,Cash
21-12-2122,11:52:55,1O5JC4,3,nextar,Gopay
21-12-2122,11:51:49,1O5JC3,4,pembalut,Cash
21-12-2122,11:19:12,1O5JC2,2,buku tulis,Gopay
21-12-2122,11:53:12,1O5JC1,4,bolpoin standart,Cash
21-12-2122,11:31:15,1O5JC1,1,buku gambar,Gopay
21-12-2122,9:35:33,1O5JBZ,2,pensil,Cash
21-12-2122,9:29:21,1O5JBY,3,penghapus,Gopay
21-12-2122,9:15:47,1O5JBX,4,rautan pensil,Cash
21-12-2122,8:56:29,1O5JBW,2,sari roti,Gopay
19-12-2122,23:17:29,1O5JBV,4,mie,Cash
19-12-2122,22:31:13,1O5JBU,1,kecap,Cash
19-12-2122,22:14:51,1O5JBT,2,saos,Cash
19-12-2122,22:13:11,1O5JBS,3,es cream,Cash
19-12-2122,21:41:51,1O5JBR,4,pie susu,Other
19-12-2122,21:29:47,1O5JBQ,2,risol,Cash
19-12-2122,21:12:18,1O5JBP,4,martabak,Cash
19-12-2122,21:13:12,1O5JBO,1,floridina,Cash
19-12-2122,21:42:25,1O5JBN,2,iso plus,Other
19-12-2122,21:36:15,1O5JBM,3,golda,Gopay
19-12-2122,21:21:57,1O5JBL,4,nutrisari,Cash
19-12-2122,21:18:39,1O5JBK,2,teh rio,Gopay
19-12-2122,21:16:33,1O5JBJ,4,kopikap,Cash
19-12-2122,21:11:28,1O5JBI,1,roti aoka,Cash
19-12-2122,21:14:15,1O5JBH,2,sari gandum,Gopay
19-12-2122,19:59:23,1O5JBG,3,taro,Cash
19-12-2122,19:57:59,1O5JBF,4,qitela,Cash
19-12-2122,19:42:11,1O5JBE,2,choki choki,Gopay
19-12-2122,19:41:21,1O5JBD,4,bengbeng,Gopay
19-12-2122,19:11:47,1O5JBC,1,nabati,Mandiri
19-12-2122,19:11:49,1O5JBB,2,basreng,Mandiri
19-12-2122,18:53:37,1O5JBA,3,mie lidi,Cash
19-12-2122,18:49:17,1O5JB9,4,macroni pedas manis,Cash
